afvlkan,a f ɘ l k a n,
ajfeñ,a ʎ f e ɲ,
aliwentu,a l i w e n t u,
anci,a n tʃ i,
bafaxa,l̪ a f a ʈʂ a,
calin,tʃ a l i n,
cazi,tʃ a θ i,
cagvj,tʃ a ŋ ɘ ʎ,
dallun,θ a ʎ u n,
hamuh,n̪ a m u n̪,
ichuna,i tʃ u n a,
kutri,k u ʈʂ i,
kümelekaymi,k ɘ m e l e k a j m i,
mansun,m a n s u n,
nge,ŋ e,
reqle,ʐ e ɣ l e,
kom,k o m,
pu,p u,
kishu,k i ʃ u,
nhi,n̪ i,
malhenh,m a l̪ e n̪,
femmeken,f e m ː e k e n,
diccionario,θ i tʃ ː i o n a ʐ i o,
segredossereia,s e ŋ ʐ e θ o s ː e ʐ e i a,
küzawwe,k ɘ θ a w ː e,
kutt,k u t ː,
mew,m e w,
ta,t a,
ñi,ɲ i,
ka,k a,
