ин,i n,и goes to /i/; н goes to /n/
шӹ,ʃ ə,ш goes to /ʃ/; ӹ goes to /ə/
эдем,e d e m,э goes to /e/; д goes to /d/; е goes to /e/; м goes to /m/
да,d ɑ,a goes to /а/
ӹлен,ə l e n,л goes to /l/
тӹштӹ,t ə ʃ t ə,т goes to /t/
ӹдӹрӓмӓш,ə d ə r æ m æ ʃ,р goes to /r/
доно,d o n o,о goes to /o/
марий,m ɑ r i j,й goes to /j/
гыч,ɡ ɤ tɕ,ч goes to /tɕ/
Тыгак,t ɤ ɡ ɑ k,к goes to /k/
Кӧ,k ø,ӧ goes to /ø/
шабдар,ʃ ɑ b d ɑ r,б goes to /b/
веле,β e l e,в goes to /β/
территорижӹ,t e r r i t o r i ʒ ə,ж goes to /ʒ/
изи,i z i,з goes to /z/
еҥ,j e ŋ,е goes to /je/ word-initally; ҥ goes to /ŋ/
вес,β e s,с goes to /s/
улы,u l ɤ,у goes to /u/
финн,f i n n,ф goes to /f/
вуйхалажы,β u j x ɑ l ɑ ʒ ɤ,х goes to /x/
гӹц,ɡ ə ts,ц goes to /ts/
училищым,u tɕ i l i ɕ ɤ m,щ goes to /ɕ/
революций,r e β o ʎ u ts i j,ю goes to /u/
южо,j u ʒ o,ю goes to /ju/ word-initally
пырля,p ɤ r ʎ ɑ,я goes to /ɑ/
якте,j ɑ k t e,я goes to /jɑ/ word-initally
мием,m i j e m,е goes to /je/ after other vowels
июнь,i j u ɲ,ю goes to /ju/ after other vowels; ь does not have a phonemic value
ияш,i j ɑ ʃ,я goes to /jɑ/ after other vowels
приём,p r i j o m,
йӱла,j y l ɑ,
адъютант,ɑ d j u t ɑ n t,
июль,i j u ʎ,
коньяк,k o ɲ j ɑ k,
ляпкаш,ʎ ɑ p k ɑ ʃ,
арня,ɑ r ɲ ɑ,
