ta,t a,"<a>"
kabuverdianu,k a b u v e ɾ d i ã u,"<an>"
más,m a s,"<á>"
Amándiu,a m ã d i u,"<án>"
diâ,d i ɐ,"<â>"
mânera,m ɐ̃ e ɾ a,"<ân>"
bu,b u,"<b>"
di,d i,"<d>"
dja,dʒ a,"<dj>"
es,e s,"<e>"
ben,b ẽ,"<en>"
é,ɛ,"<é>"
nén,n ɛ̃,"<én>"
purtugês,p u ɾ t u ɡ e s,"<ê>"
influênsia,ĩ f l u ẽ s i a,"<ên>"
fla,f l a,"<f>"
lingua,l ĩ ɡ u a,"<g>"
ki,k i,"<i>"
inda,ĩ d a,"<in>"
família,f a m i l i a,"<í>"
língua,l ĩ ɡ u a,"<ín>"
oji,o ʒ i,"<j>"
ka,k a,"<k>"
el,e l,"<l>"
ilha,i ʎ a,"<lh>"
ma,m a,"<m>"
na,n a,"<n>"
nha,ɲ a,"<nh>"
nos,n o s,"<o>"
konta,k õ t a,"<õ>"
só,s ɔ,"<ó>"
kónta,k ɔ̃ t a,"<ón>"
dôs,d o s,"<ô>"
ône,õ e,"<ôn>"
pa,p a,"<p>"
kre,k ɾ e,"<r>"
burru,b u ʀ u,"<rr>"
si,s i,"<s>"
ten,t ẽ,"<t>"
txeu,tʃ e u,"<tx>"
ku,k u,"<u>"
un,ũ,"<un>"
kauverde,k a u v e ɾ d e,"<v>"
dexa,d e ʃ a,"<x>"
faze,f a z e,"<z>"
kaminhu,k a m i ɲ u,"vowels don't nasalize before <m> and <nh>"
