xyaalal,ʃ j a ː l a l,"a"
b'alaq'il,ɓ a l a q’ i l,"b'"
chirix,tʃ i r i ʃ,"ch"
ruuchich'och',r u ː tʃ i tʃ’ ɔ tʃ’,"ch'"
reheb',r e h e ɓ,"e"
ha'in,h a ʔ i n,"h"
qiitz'in,q i ː ts’ i n,"i"
taawaj,t a ː w a x,"j"
kutank,k u t a n k,"k"
k'aru,k’ a r u,"k'"
ralal,r a l a l,"l"
molam,m ɔ l a m,"m"
xb'aanunkil,ʃ ɓ a ː n u n k i l,"n"
moko,m ɔ k ɔ,"o"
palaw,p a l a w,"p"
jalanq,x a l a n q,"q"
ninq'e,n i n q’ e,"q'"
chiru,tʃ i r u,"r"
maa'us,m a ː ʔ u s,"s"
tenamit,t e n a m i t,"t"
b'ut'iha',ɓ u t’ i h a ʔ,"t'"
tzolom,ts ɔ l ɔ m,"tz"
tz'aqal,ts’ a q a l,"tz'"
jukub',x u k u ɓ,"u"
wankeb',w a n k e ɓ,"w"
xyu'am,ʃ j u ʔ a m,"x"
yookeb',j ɔ ː k e ɓ,"y"
ha'an,h a ʔ a n,"apostrophe"
t-uxmanq,t ʔ u ʃ m a n q,"hyphen"
