aachama,a ː tʃ a m a,"a"
baanbuka,b a ː n b u k a,"b"
chichiiya,tʃ i tʃ i ː j a,"ch"
dillinu,d i ʎ i n u,"d"
dya'kanu,dʲ a ʔ k a n u,"dy"
eetennu,e ː t e n n u,"e"
fe'sha,f e ʔ ʃ a,"f"
guntsu,ɡ u n ts u,"g"
inunchi,i n u n tʃ i,"i"
jakajtu,h a k a h t u,"j"
kika,k i k a,"k"
lulamu,l u l a m u,"l"
lluu,ʎ u ː,"ll"
mu'mu'pamu,m u ʔ m u ʔ p a m u,"m"
nekunu,n e k u n u,"n"
nangule,n a ŋ u l e,"ng"
ñañi,ɲ a ɲ i,"ñ"
pajkipala,p a h k i p a l a,"p"
remedyu,ɾ e m e dʲ u,"r"
seeputyu,s e ː p u tʲ u,"s"
shiishupa,ʃ i ː ʃ u p a,"sh"
tutiti,t u t i t i,"t"
tsanginu,ts a ŋ i n u,"ts"
tyujtyu,tʲ u h tʲ u,"ty"
uumu,u ː m u,"u"
vijtya,v i h tʲ a,"v"
waiberu,w a i b e ɾ u,"w"
yapaya,j a p a j a,"y"
ña'ma,ɲ a ʔ m a,"apostrophe"
