adam,ɑ d̪ ɑ m,"a"
lâle,l j ɑ l e,"â"
bina,b i n ɑ,"b"
cevap,dʒ e v ɑ p,"c"
çabik,tʃ ɑ b i k,"ç"
demir,d̪ e m i r,"d"
suret,s u r e t̪,"e"
farq,f ɑ r q,"f"
gece,ɡ e dʒ e,"g"
ğaddab,ɣ ɑ d̪ d̪ ɑ b,"ğ"
hane,x ɑ n e,"h"
bit,b i t̪,"i"
çın,tʃ ɯ n,"ı"
kitap,k i t̪ ɑ p,"k"
yol,j o l,"l"
meydan,m e j d̪ ɑ n,"m"
nas,n ɑ s,"n"
keñ,k e ŋ,"ñ"
soy,s o j,"o"
söz,s ø z,"ö"
parmaq,p ɑ r m ɑ q,"p"
qursaq,q u r s ɑ q,"q"
arqa,ɑ r q ɑ,"r"
sade,s ɑ d̪ e,"s"
şey,ʃ e j,"ş"
tiş,t̪ i ʃ,"t"
uzun,u z u n,"u"
sürek,s y r e k,"ü"
ve,v e,"v"
yuvmaq,j u v m ɑ q,"y"
zor,z o r,"z"
İstanbul,i s t̪ ɑ n b u l,"İ"
Işqaf,ɯ ʃ q ɑ f,"I"
