eta,e t a,"<a>"
tási'a,t a s i ʔ a,"<á>"
juca,h u k a,"<c>"
achane,a tʃ a n e,"<ch>"
ema,e m a,"<e>"
étapa,e t a p a,"<é>"
tayehe,t a j e ʔ e,"<h>"
taicha,t a i tʃ a,"<i>"
víti,v i t i,"<í>"
jena,h e n a,"<j>"
juka,h u k a,"<k>"
tamutu,t a m u t u,"<m>"
achaneana,a tʃ a n e a n a,"<n>"
eñi,e ɲ i,"<ñ>"
puiti,p u i t i,"<p>"
apaquehe,a p a k e ʔ e,"<qu>"
apamuriana,a p a m u ɾ i a n a,"<r>"
esu,e s u,"<s>"
máurishinuina'ini,m a u ɾ i ʃ i n u i n a ʔ i n i,"<sh>"
te,t e,"<t>"
útsutsure,u ts u ts u ɾ e,"<ts>"
nuti,n u t i,"<u>"
júkana,h u k a n a,"<ú>"
vichamuriana,v i tʃ a m u ɾ i a n a,"<v>"
maye'e,m a j e ʔ e,"<y>"
naye'e,n a j e ʔ e,"apostrophe"
me,m e,
apaesa,a p a e s a,
anuma,a n u m a,
namutu,n a m u t u,
