밥,p a p,"bab"
빨간,p͈ a l k a n,"bbalgan"
팔,pʰ a l,"pal"
달,t a l,"dal"
딸,t͈ a l,"ddal"
탈,tʰ a l,"tal"
사,s a,"sa"
싹,s͈ a k,"ssag"
좋다,tʃ o h t a,"johda"
찌,t͈ʃ i,"jji"
칠,tʃʰ i l,"cil"
한국,h a n k u k,"hangug"
코,kʰ o,"ggo"
끈,k͈ ɨ n,"keun"
의자,ɨ i tʃ a,"yija"
없으,ʌ p s ɨ,"eobseu"
몫,m o k s,"mogs"
앉다,a n tʃ t a,"anjda"
많다,m a n h t a,"manhda"
닭,t a l k,"dalg"
삶,s a l m,"salm"
밟다,p a l p t a,"balbda"
핥다,h a l tʰ t a,"haltda"
읊다,ɨ l pʰ t a,"eulpda"
닳다,t a l h t a,"dalhda"
값,k a p s,"gabs"
돐,t o l s,"dols"
왜,w ɛ,"wae"
외,ø,"oe"
영,j ʌ ŋ,"yeong"
예쁜,j e p͈ ɨ n,"yeppeun"
