алты,ɑ l t ɯ,а to ɑ
билек,b i l e k,b
Гудучу,ɡ u d u tʃ u,г to ɡ
доктор,d o k t o r,д to d
еки,j e k i,е to je
егеч,j e ɡ e tʃ,е to e
тёрт,t ø r t,ё to ø
сегиз,s e ɡ i z,з to z
эдим,e d i m,и to i
Къарачай,k ɑ r ɑ tʃ ɑ j,й to j
келир,k e l i r,к to k
тамбыла,t ɑ m b ɯ l ɑ,л to l
Малкъар,m ɑ l k ɑ r,м to m
сизни,s i z n i,н to n
кёп,k ø p,п to p
онбир,o n b i r,р to r
сакъал,s ɑ k ɑ l,с to s
Тийме,t i j m e,т to t
ауурупма,ɑ w u r u p m ɑ,у to u
къабхан,k ɑ b x ɑ n,х to x
агъач,ɑ ɡ ɑ tʃ,ч to tʃ
онбеш,o n b e ʃ,ш to ʃ
къал,k ɑ l,ъ
ачыкъ,ɑ tʃ ɯ k,ы to ɯ
элли,e l l i,э to e
гюнах,ɡ y n ɑ x,ю to y
Аякъ,ɑ j ɑ k,я to jɑ
багъа,b ɑ ɡ ɑ,гъ to ɡ
джети,dʒ e t i,дж to dʒ
къабар,k ɑ b ɑ r,къ to k
Манга,m ɑ ŋ ɑ,нг to ŋ
суу,s u w,
аууз,ɑ w u z,
