pika,p i k a,
pepek,p e p e k
urap,u r a p,
sibaur,s i b au r,
bilibalak,b i l i b a l a k,
moma,m o m a,
kema,k e m a,
senam,s e n a m,
fofa,ɸ o ɸ a,
ifa,i ɸ a,
wia,w i a,
auwa,au w a,
kuisow,k ui s o w,
tiira,t i ː r a,
patema,p a t e m a,
menat,m e n a t,
diluw,d i l u w,
duduwa,d u d u w a,
nanar,n a n a r,
anane,a n a n e,
nain,n ai n,
rinai,r i n ai,
sosora,s o s o r a,
ewar,e w a r,
sererek,s e r e r e k
eesa,e ː s a,
kawus,k a w u s,
lali,l a l i,
elew,e l e w,
kaul,k au l,
konan,k o n a n,
koka,k o k a,
onak,o n a k,
gelemuta,ɡ e l e m u t a,
googok,ɡ o ː ɡ o k,
yaweyaw,j a w e j a w,
omomiya,o m o m i j a,
aakisa,a ː k i s a,
yaaya,j a ː j a,
iina,i ː n a,
siiwa,s i ː w a,
neeke,n e ː k e,
uuma,u ː m a,
puukiya,p u ː k i j a,
piipuae,p i ː p u ae,
wuak,w u a k,
oona,o ː n a,
soomariya,s o ː m a r i j a,
Oo-ya,o ː j a,
kui-iraparowen,k ui i r a p a r o w e n,
uru-urufap,u r u u r u ɸ a p,
