âng,a ˨˦ ŋ,
bô,b o ˨˦,
ê,e ˨˦,
goá,ɡ ua ˥˩,
hiáu-tit,h iau ˥˩ t i ˨,
khah,kʰ a ˨,
Iâ-so͘,ia ˨˦ s ɔ ˥,
Ji̍t-pún-oē,dz i ˥˧ t p u ˥˩ n ue ˧,
keh-piah,k e ˨ p ia ˨,
liáu,l iau ˥˩,
m,m ˥,
ḿ,m ˥˩,
m̀,m ˨,
m̂,m ˨˦,
m̄,m ˧,
m̍,m ˥˧,
mn̂g,m ŋ ˨˦,
nih,n i ˨,
toh-á,t o ˨ a ˥˩,
to̍k,t ɔ ˥˧ k,
pîng-iú,p i ˨˦ ŋ iu ˥˩,
sí-lâng,s i ˥˩ l a ˨˦ ŋ,
tang-pîng,t a ˥ ŋ p i ˨˦ ŋ,
ū-kàu,u ˧ k au ˨,
chiah,ts ia ˨,
chhut,tsʰ u ˨,
khùn,kʰ u ˨ n,
ngiauh,ŋ iau ˨,
ng,ŋ ˥,
kng,k ŋ ˥,
ńg,ŋ ˥˩,
ǹg,ŋ ˨,
n̄g,ŋ ˧,
n̍g,ŋ ˥˧,
pháiⁿ-chia̍h,pʰ ãĩ ˥˩ ts ia ˥˧ ʔ,
thâu,tʰ au ˨˦,
toā-ko͘,t ua ˧ k ɔ ˥,
Hāi,h ai ˧,
Au-iông,au ˥ iɔ ˨˦ ŋ,
Chia̍h-pá,ts ia ˥˧ ʔ p a ˥˩,
sió-chiá,s io ˥˩ ts ia ˥˩,
hiòng,h iɔ ˨ ŋ,
chiú,ts iu ˥˩,
joa̍h,dz ua ˥˧ ʔ,
kóng-oē,k ɔ ˥˩ ŋ ue ˧,
cha̍p-koí,ts a ˥˧ p k ui ˥˩,
niau,n iau ˥,
koai,k uai ˥,
sāⁿ,s ã ˧,
chîⁿ,ts ĩ ˨˦,
hāu-seⁿ,h au ˧ s ẽ ˥,
hóⁿ,h ɔ̃ ˥˩,
pháiⁿ-chia̍h,pʰ ãĩ ˥˩ ts ia ˥˧ ʔ,
thiàⁿ,tʰ ĩã ˨,
Tiuⁿ,t ĩũ ˥,
khoàⁿ,kʰ ũã ˨,
uiⁿ,ũĩ ˥,
iauⁿ,ĩãũ ˥,
oáiⁿ,ũãĩ ˥˩,
hiauh,h iau ˨,
iaⁿh,ĩã ˨,
Pe̍h-ōe-jī,p e ˥˧ ʔ ue ˧ dz i ˧,
Tâi-gí,t ai ˨˦ ɡ i ˥˩,
Tâi-uân,t ai ˨˦ ua ˨˦ n,
to̍h,t o ˥˧ ʔ,
kok-ka,k ɔ ˨ k a ˥,
lóng,l ɔ ˥˩ ŋ,
hóⁿ,h ɔ̃ ˥˩,
io,io ˥,
ioh,io ˨,
iok,iɔ ˨,
iong,iɔ ˥ ŋ,
Má-chó͘-pô,m a ˥˩ ts ɔ ˥˩ p o ˨˦,
hoâi,h uai ˨˦,
sue,s ue ˥,
Uí-uân-huē,ui ˥˩ ua ˨˦ n h ue ˧,
kin-puàⁿ,k i ˥ n p ũã ˨,
uaiⁿ,ũãĩ ˥,
