abat,a b a t,"a"
bibë,b i b ə,"b"
cicëroj,ts i ts ə ɾ o j,"c"
çuçurjar,tʃ u tʃ u ɾ j a ɾ,"ç"
dredh,d ɾ e ð,"d"
dhez,ð e z,"dh"
edhe,e ð e,"e"
ëndërr,ə n d ə r,"ë"
fole,f o l e,"f"
gargull,ɡ a ɾ ɡ u ɫ,"g"
gjegje,ɟ e ɟ e,"gj"
hidhërohem,h i ð ə ɾ o h e m,"h"
iriq,i ɾ i c,"i"
miell,m ie ɫ,"ie"
juaji,j ua j i,"j"
kapak,k a p a k,"k"
lalë,l a l ə,"l"
llap,ɫ a p,"ll"
majmun,m a j m u n,"m"
nallban,n a ɫ b a n,"n"
njëzetenjë,ɲ ə z e t e ɲ ə,"nj"
ofendoj,o f e n d o j,"o"
përtyp,p ə ɾ t y p,"p"
qelq,c e l c,"q"
rëfyrë,ɾ ə f y ɾ ə,"r"
rrush,r u ʃ,"rr"
sasi,s a s i,"s"
shoshë,ʃ o ʃ ə,"sh"
tëtanë,t ə t a n ə,"t"
thuthaq,θ u θ a c,"th"
utull,u t u ɫ,"u"
pothuaj,p o θ ua j,"ua"
kjuer,k j ue ɾ,"ue"
vervele,v e ɾ v e l e,"v"
xixë,dz i dz ə,"x"
xhaxha,dʒ a dʒ a,"xh"
yndyrë,y n d y ɾ ə,"y"
krye,k ɾ ye,"ye"
zogëz,z o ɡ ə z,"z"
zhvillim,ʒ v i ɫ i m,"zh"
