"يالغان"	"j ɑ l ɣ ɑ n"	""/ɑ/"
"سەكسەن"	"s æ k s æ n"	""/æ/"
"بازار"	"b ɑ z ɑ r"	""/b/"
"پەمىدۇر"	"p æ m i d u r"	""/p/"
"تۆتىنچى"	"t ø t i n tʃ i"	""/t/"
"جەڭچى"	"dʒ æ ŋ tʃ i"	""/dʒ/"
"ئۈچىنچى"	"y tʃ i n tʃ i"	""/tʃ/"
"ياخشى"	"j ɑ x ʃ i"	""/x/"
"دادا"	"d ɑ d ɑ"	""/d/"
"قىرىق"	"q i r i q"	""/r/"
"زىلزىلە"	"z i l z i l æ"	""/z/"
"ژۇرنال"	"ʒ u r n ɑ l"	""/ʒ/"
"ساقچى"	"s ɑ q tʃ i"	""/s/"
"ئاتمىش"	"ɑ t m i ʃ"	""/ʃ/"
"لۇغەت"	"l u ɣ æ t"	""/ɣ/"
"يانفون"	"j ɑ n f o n"	""/f/"
"قانداق"	"q ɑ n d ɑ q"	""/q/"
"كىچىك"	"k i tʃ i k"	""/k/"
"گۇگۇت"	"ɡ u ɡ u t"	""/ɡ/"
"مىڭ"	"m i ŋ"	""/ŋ/"
"كۈلكىلىك"	"k y l k i l i k"	""/l/"
"مايمۇن"	"m ɑ j m u n"	""/m/"
"نۆلىنچى"	"n ø l i n tʃ i"	""/n/"
"ھايات"	"h ɑ j ɑ t"	""/h/"
"ئوغۇل"	"o ɣ u l"	""/o/"
"قۇدۇق"	"q u d u q"	""/u/"
"دۆلەت"	"d ø l æ t"	""/ø/"
"گۈڭگۈرت"	"ɡ y ŋ ɡ y r t"	""/y/"
"جاۋاب"	"dʒ ɑ w ɑ b"	""/w/"
"نېفىت"	"n e f i t"	""/e/"
"ئىككىنچى"	"i k k i n tʃ i"	""/i/"
"زەيتۇن"	"z æ j t u n"	""/j/"
