aakara,a ː k a ɾ a,"a"
bàq,b a ː q,"à"
bisaab,b i s a ː b,"b"
caaxon,tʃ a ː x ɔ n,"c"
déedéet,d e ː d e ː t,"d"
gerte,ɡ ɛ ɾ t ɛ,"e"
kéwél,k e w e l,"é"
lëg,l ə ɡ,"ë"
fukk,f u k ː,"f"
goŋ,ɡ ɔ ŋ,"g"
sikket,s i k ː ɛ t,"i"
jàmm,dʒ a ː m ː,"j"
koko,k ɔ k ɔ,"k"
lal,l a l,"l"
moom,m ɔ ː m,"m"
mbédd,ᵐb e d ː,"mb"
pampëlëmuus,p a m p ə l ə m u ː s,"mp"
nan,n a n,"n"
kancóoli,k a n tʃ o ː l i,"nc"
ndobin,ⁿd ɔ b i n,"nd"
ngelaw,ᵑɡ ɛ l a w,"ng"
njaxat,ᶮdʒ a x a t,"nj"
tànk,t a ː n k,"nk"
ñeent,ɲ ɛ ː n t,"nt"
ñuulaay,ɲ u ː l a ː j,"ñ"
ŋas,ŋ a s,"ŋ"
xorom,x ɔ ɾ ɔ m,"o"
sufólóor,s u f o l o ː ɾ,"ó"
pàppaay,p a ː p ː a ː j,"p"
wëq,w ə q,"q"
res,ɾ ɛ s,"r"
soraans,s ɔ ɾ a ː n s,"s"
tëflit,t ə f l i t,"t"
njugub,ᶮdʒ u ɡ u b,"u"
waaw,w a ː w,"w"
xojox,x ɔ dʒ ɔ x,"x"
yax,j a x,"y"
